ticker,Date,vader_score,n_headlines,finbert_score
TSLA,2023-01-13,0.121766664,12,-0.21159856
TSLA,2023-01-14,0.0,4,-0.08772518
TSLA,2023-01-15,0.24915001,2,0.05750527
TSLA,2023-01-16,0.008359998,5,-0.0758729
TSLA,2023-01-17,0.089875005,12,0.0934492
TSLA,2023-01-18,0.12998334,12,0.030676624
TSLA,2023-01-19,-0.018025005,12,-0.08695221
TSLA,2023-01-20,-0.11816666,12,-0.23360609
TSLA,2023-01-21,0.085,4,0.11528508
TSLA,2023-01-22,-0.03863333,3,-0.22569084
TSLA,2023-01-23,-0.023900002,12,0.010298527
TSLA,2023-01-24,0.020008333,12,-0.050763067
TSLA,2023-01-25,-0.15296666,12,-0.23393758
TSLA,2023-01-26,0.27861667,12,0.39916825
TSLA,2023-01-27,0.06556667,12,0.072935246
TSLA,2023-01-28,0.0,3,0.043065652
TSLA,2023-01-29,0.25206664,6,0.07218892
TSLA,2023-01-30,0.20125,12,-0.019761615
TSLA,2023-01-31,0.09210833,12,-0.052503478
TSLA,2023-02-01,-0.19295,12,-0.18079351
TSLA,2023-02-02,-0.03340909,11,-0.0770579
TSLA,2023-02-03,0.0086916685,12,-0.27394003
TSLA,2023-02-04,0.2083,3,0.1088259
TSLA,2023-02-05,0.4196,2,0.12184037
TSLA,2023-02-06,-0.002083334,12,-0.18926649
TSLA,2023-02-07,0.286675,8,0.13987796
TSLA,2023-02-08,0.18067499,12,0.28303677
TSLA,2023-02-09,0.20928334,12,0.14168717
TSLA,2023-02-10,0.1989,11,-0.2625581
TSLA,2023-02-11,0.2936,3,0.29109207
TSLA,2023-02-12,0.07833334,3,0.08409513
TSLA,2023-02-13,-0.012633328,12,0.29600504
TSLA,2023-02-14,0.094958335,12,0.0833204
TSLA,2023-02-15,0.058,12,-0.028686112
TSLA,2023-02-16,-0.075608335,12,-0.46436575
TSLA,2023-02-17,0.194975,12,0.065159224
TSLA,2023-02-18,-0.13248333,6,-0.32269835
TSLA,2023-02-20,0.05236,10,0.12981275
TSLA,2023-02-21,0.14143334,12,-0.19172974
TSLA,2023-02-22,0.17524166,12,0.2926568
TSLA,2023-02-23,0.08245834,12,-0.06461463
TSLA,2023-02-24,-0.1121,12,-0.4501691
TSLA,2023-02-25,-0.041699994,6,-0.066537835
TSLA,2023-02-26,0.015742855,7,0.12532477
TSLA,2023-02-27,-0.06601667,12,0.3191041
TSLA,2023-02-28,0.094525,12,-0.013950073
TSLA,2023-03-01,0.105008334,12,-0.2351778
TSLA,2023-03-02,0.041824996,12,-0.04608872
TSLA,2023-03-03,0.098,12,0.14696981
TSLA,2023-03-04,-0.06364,5,-0.2519819
TSLA,2023-03-05,-0.075475,8,-0.07924667
TSLA,2023-03-06,0.122,12,-0.013323874
TSLA,2023-03-07,0.060941666,12,0.0869774
TSLA,2023-03-08,0.066425,12,-0.22711885
TSLA,2023-03-09,0.058683336,12,-0.20540126
TSLA,2023-03-10,-0.045700002,12,0.06688391
TSLA,2023-03-11,0.050575,4,-0.15404959
TSLA,2023-03-12,0.2787,2,0.1773356
TSLA,2023-03-13,0.21229166,12,-0.19514097
TSLA,2023-03-14,0.08815833,12,-0.08717782
TSLA,2023-03-15,0.2512375,8,-0.059211273
TSLA,2023-03-16,0.1144,4,0.02785809
TSLA,2023-03-17,0.046671428,7,0.1345631
TSLA,2023-03-18,-0.064,2,0.070660986
TSLA,2023-03-19,0.18482,5,0.11122038
TSLA,2023-03-20,0.16259167,12,-0.086191796
TSLA,2023-03-21,0.008116667,12,-0.21400337
TSLA,2023-03-22,0.13520001,12,0.12030753
TSLA,2023-03-23,-0.0036999981,6,-0.11665053
TSLA,2023-03-24,0.124249995,10,0.27057642
TSLA,2023-03-25,0.0,3,-0.053911775
TSLA,2023-03-26,0.3818,1,0.2521916
TSLA,2023-03-27,-0.018583335,12,-0.077360846
TSLA,2023-03-28,0.1949,7,0.05151223
TSLA,2023-03-29,0.01814167,12,0.01944026
TSLA,2023-03-30,0.0053833327,12,-0.08434362
TSLA,2023-03-31,0.12905833,12,0.10970657
TSLA,2023-04-01,0.21412499,4,0.15038744
TSLA,2023-04-02,-0.197,5,0.05180847
TSLA,2023-04-03,-0.10006666,12,-0.2952154
TSLA,2023-04-04,0.052025,12,-0.10653398
TSLA,2023-04-05,-0.18981667,12,-0.30918497
TSLA,2023-04-06,0.10593333,12,0.16205388
TSLA,2023-04-07,0.056583334,12,-0.2587565
TSLA,2023-04-08,-0.025675,4,-0.067230426
TSLA,2023-04-09,-0.0084666675,6,0.073493585
TSLA,2023-04-10,0.10909166,12,-0.14360195
TSLA,2023-04-11,0.28451112,9,0.18364733
TSLA,2023-04-12,0.07360833,12,0.2307505
TSLA,2023-04-13,0.17589168,12,0.042697076
TSLA,2023-04-14,-0.0934,12,-0.20235002
TSLA,2023-04-15,0.232025,4,0.05302161
TSLA,2023-04-16,0.09702501,12,0.27597037
TSLA,2023-04-17,0.014050002,12,-0.113602936
TSLA,2023-04-18,0.00034166375,12,0.15940964
TSLA,2023-04-19,0.12606667,12,-0.31771657
TSLA,2023-04-20,0.014441669,12,-0.02720809
TSLA,2023-04-21,-0.02301667,12,-0.13797592
TSLA,2023-04-22,0.11333334,3,0.09859299
